date,state,coalition,pct_05,pct_50,pct_95
2021-03-07,National,afd,49.0,84.0,125.0
2021-03-07,National,cdu,230.0,250.0,268.0
2021-03-07,National,fdp,43.0,63.0,84.0
2021-03-07,National,gruene,121.0,138.0,156.0
2021-03-07,National,linke,43.0,62.0,82.0
2021-03-07,National,spd,108.0,123.0,139.0
2021-03-07,Baden-Württemberg,afd,0.0,10.0,26.0
2021-03-07,Baden-Württemberg,cdu,34.0,36.0,37.0
2021-03-07,Baden-Württemberg,fdp,7.0,10.0,14.0
2021-03-07,Baden-Württemberg,gruene,19.0,22.0,25.0
2021-03-07,Baden-Württemberg,linke,0.0,5.0,10.0
2021-03-07,Baden-Württemberg,spd,7.0,12.0,16.0
2021-03-07,Bayern,afd,0.0,12.0,31.0
2021-03-07,Bayern,cdu,45.0,46.0,46.0
2021-03-07,Bayern,fdp,5.0,9.0,14.0
2021-03-07,Bayern,gruene,20.0,23.0,26.0
2021-03-07,Bayern,linke,0.0,6.0,13.0
2021-03-07,Bayern,spd,8.0,13.0,19.0
2021-03-07,Berlin,afd,0.0,3.0,8.0
2021-03-07,Berlin,cdu,4.0,6.0,8.0
2021-03-07,Berlin,fdp,1.0,2.0,3.0
2021-03-07,Berlin,gruene,6.0,7.0,8.0
2021-03-07,Berlin,linke,4.0,5.0,7.0
2021-03-07,Berlin,spd,3.0,4.0,6.0
2021-03-07,Brandenburg,afd,0.0,4.0,8.0
2021-03-07,Brandenburg,cdu,4.0,9.0,10.0
2021-03-07,Brandenburg,fdp,0.0,1.0,2.0
2021-03-07,Brandenburg,gruene,3.0,4.0,4.0
2021-03-07,Brandenburg,linke,2.0,4.0,5.0
2021-03-07,Brandenburg,spd,2.0,3.0,4.0
2021-03-07,Bremen,afd,0.0,0.0,1.0
2021-03-07,Bremen,cdu,1.0,1.0,2.0
2021-03-07,Bremen,fdp,0.0,0.0,1.0
2021-03-07,Bremen,gruene,1.0,1.0,1.0
2021-03-07,Bremen,linke,0.0,1.0,1.0
2021-03-07,Bremen,spd,1.0,2.0,2.0
2021-03-07,Hamburg,afd,0.0,1.0,3.0
2021-03-07,Hamburg,cdu,3.0,4.0,6.0
2021-03-07,Hamburg,fdp,1.0,1.0,2.0
2021-03-07,Hamburg,gruene,3.0,4.0,4.0
