start_date,median_date,end_date,spread,pollster,n,party,pct
2021-09-03,2021-09-05,2021-09-06,4,INSA,2052.0,cdu,0.205
2021-08-31,2021-09-04,2021-09-06,7,Forsa,2505.0,cdu,0.19
2021-08-30,2021-09-02,2021-09-03,5,INSA,1427.0,cdu,0.2
2021-08-31,2021-09-02,2021-09-02,3,Forschungsgruppe Wahlen,1301.0,cdu,0.22
2021-08-30,2021-08-31,2021-09-01,3,Infratest dimap,1337.0,cdu,0.2
2021-08-30,2021-08-31,2021-08-31,2,Wahlkreisprognose,2340.0,cdu,0.195
2021-08-27,2021-08-29,2021-08-31,5,YouGov,1729.0,cdu,0.2
2021-08-25,2021-08-29,2021-08-31,7,Kantar,1439.0,cdu,0.21
2021-08-27,2021-08-29,2021-08-30,4,INSA,2015.0,cdu,0.2
2021-08-24,2021-08-27,2021-08-30,7,Forsa,2508.0,cdu,0.21
2021-08-28,2021-08-29,2021-08-29,2,Ipsos,2001.0,cdu,0.21
2021-08-23,2021-08-25,2021-08-27,5,INSA,1247.0,cdu,0.21
2021-08-24,2021-08-25,2021-08-26,3,Forschungsgruppe Wahlen,1300.0,cdu,0.22
2021-08-18,2021-08-23,2021-08-26,9,Allensbach,1038.0,cdu,0.26
2021-08-18,2021-08-22,2021-08-25,8,Civey,10054.0,cdu,0.22
2021-08-20,2021-08-23,2021-08-24,5,YouGov,1689.0,cdu,0.22
2021-08-18,2021-08-21,2021-08-24,7,Kantar,1919.0,cdu,0.23
2021-08-20,2021-08-22,2021-08-23,4,INSA,2119.0,cdu,0.23
2021-08-16,2021-08-20,2021-08-23,8,Forsa,2504.0,cdu,0.22
2021-08-16,2021-08-19,2021-08-20,5,INSA,1352.0,cdu,0.22
2021-08-17,2021-08-18,2021-08-18,2,Infratest dimap,1219.0,cdu,0.23
2021-08-12,2021-08-15,2021-08-18,7,Trend Research,1798.0,cdu,0.23
2021-08-11,2021-08-15,2021-08-18,8,Civey,10117.0,cdu,0.24
2021-08-14,2021-08-16,2021-08-17,4,Wahlkreisprognose,2005.0,cdu,0.22
2021-08-11,2021-08-15,2021-08-17,7,Kantar,1920.0,cdu,0.22
2021-08-05,2021-08-11,2021-08-17,13,Allensbach,1018.0,cdu,0.275
2021-08-13,2021-08-15,2021-08-16,4,INSA,2080.0,cdu,0.25
2021-08-10,2021-08-13,2021-08-16,7,Forsa,2501.0,cdu,0.23
2021-08-09,2021-08-11,2021-08-13,5,INSA,1450.0,cdu,0.25
