pollster,median_date,age,n,cdu,spd,linke,gruene,fdp,afd,other
INSA,2017-09-22,1,2000,34,21,11,8,9,13,4
Forschungsgruppe Wahlen,2017-09-21,2,1725,36,21.5,8.5,8,10,11,5
Forsa,2017-09-20,3,2006,36,22,9.5,7,9.5,11,5
Emnid,2017-09-18,5,1994,35,22,10,8,9,11,5
GMS,2017-09-17,6,1004,37,22,9,8,9,10,5
YouGov,2017-09-17,6,1862,36,23,10,7,9,10,5
INSA,2017-09-17,6,2042,36,22,11,7,9,11,4
Forsa,2017-09-13,10,2501,36,23,10,8,9,9,5
Forschungsgruppe Wahlen,2017-09-13,10,1383,36,23,9,8,10,10,4
Allensbach,2017-09-10,13,1083,36.5,22,9,8,11,10,3.5
Infratest dimap,2017-09-13,10,1503,37,20,9,7.5,9.5,12,5
Emnid,2017-09-10,13,1888,36,22,10,8,9,11,4
Trend Research,2017-09-11,12,1042,36,22,10,7,9,11,4
YouGov,2017-09-10,13,1600,36,23,10,8,9,10,4
INSA,2017-09-10,13,2054,36.5,23.5,10.5,6,9,11,3.5
Forsa,2017-09-06,17,2505,37,23,10,8,8,9,5
Forschungsgruppe Wahlen,2017-09-06,17,1378,38,22,9,8,9,9,5
Forsa,2017-09-06,17,2001,37,23,10,8,9,9,4
Infratest dimap,2017-09-05,18,1503,37,21,10,8,9,11,4
YouGov,2017-09-05,18,1617,34,24,9,7,9,11,6
Trend Research,2017-09-05,18,1045,37,24,10,7,8,10,5
Emnid,2017-09-03,20,1869,37,24,9,8,8,9,5
GMS,2017-09-03,20,1012,38,22,9,9,10,8,4
INSA,2017-09-03,20,2048,36.5,23.5,10,6.5,8.5,10.5,4.5
Forsa,2017-08-31,23,2503,38,23,9,8,8,9,5
Forschungsgruppe Wahlen,2017-08-30,24,1309,39,22,9,8,10,8,4
Allensbach,2017-08-27,27,1043,38.5,24,8,7.5,10,8,4
Infratest dimap,2017-08-29,25,1411,37,23,9,8,8,11,4
Emnid,2017-08-27,27,1889,38,24,9,8,8,8,5
YouGov,2017-08-27,27,1557,36,25,10,7,7,10,5
INSA,2017-08-27,27,2034,37,24,10,6.5,8,10,4.5
Trend Research,2017-08-26,28,1049,38,23,9,6,9,10,5
