id,constituency,state,party,first_votes,second_votes
1,Flensburg – Schleswig,Schleswig-Holstein,afd,9766,10315
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,afd,8270,8796
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein,afd,10429,11304
4,Rendsburg-Eckernförde,Schleswig-Holstein,afd,10197,10562
5,Kiel,Schleswig-Holstein,afd,7179,7676
6,Plön – Neumünster,Schleswig-Holstein,afd,9404,9741
7,Pinneberg,Schleswig-Holstein,afd,11934,12845
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein,afd,14039,14527
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein,afd,9646,10073
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein,afd,14053,14684
11,Lübeck,Schleswig-Holstein,afd,7551,7807
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern,afd,25380,24179
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern,afd,24760,24670
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern,afd,19885,20660
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern,afd,33034,31314
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburg-Vorpommern,afd,36599,35102
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern,afd,30346,29443
18,Hamburg-Mitte,Hamburg,afd,8694,9161
19,Hamburg-Altona,Hamburg,afd,5221,5069
20,Hamburg-Eimsbüttel,Hamburg,afd,5447,5657
21,Hamburg-Nord,Hamburg,afd,6259,6807
22,Hamburg-Wandsbek,Hamburg,afd,11483,11284
23,Hamburg-Bergedorf – Harburg,Hamburg,afd,12779,12637
24,Aurich – Emden,Niedersachsen,afd,,11163
25,Unterems,Niedersachsen,afd,13584,14251
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen,afd,10227,10951
27,Oldenburg – Ammerland,Niedersachsen,afd,8571,8903
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen,afd,11996,12984
29,Cuxhaven – Stade II,Niedersachsen,afd,10227,11000
30,Stade I – Rotenburg II,Niedersachsen,afd,10732,11000
31,Mittelems,Niedersachsen,afd,8992,9233
32,Cloppenburg – Vechta,Niedersachsen,afd,12673,12771
33,Diepholz – Nienburg I,Niedersachsen,afd,9683,10370
34,Osterholz – Verden,Niedersachsen,afd,,11320
35,Rotenburg I – Heidekreis,Niedersachsen,afd,9181,9944
36,Harburg,Niedersachsen,afd,11007,11670
37,Lüchow-Dannenberg – Lüneburg,Niedersachsen,afd,8598,9148
38,Osnabrück-Land,Niedersachsen,afd,9416,10068
39,Stadt Osnabrück,Niedersachsen,afd,6694,6902
40,Nienburg II – Schaumburg,Niedersachsen,afd,11693,12433
41,Stadt Hannover I,Niedersachsen,afd,7539,7677
42,Stadt Hannover II,Niedersachsen,afd,6475,6753
43,Hannover-Land I,Niedersachsen,afd,12942,13293
44,Celle – Uelzen,Niedersachsen,afd,14496,14421
45,Gifhorn – Peine,Niedersachsen,afd,15346,16052
46,Hameln-Pyrmont – Holzminden,Niedersachsen,afd,11208,11590
47,Hannover-Land II,Niedersachsen,afd,13377,13850
48,Hildesheim,Niedersachsen,afd,11386,12161
49,Salzgitter – Wolfenbüttel,Niedersachsen,afd,14329,14413
50,Braunschweig,Niedersachsen,afd,8045,8238
51,Helmstedt – Wolfsburg,Niedersachsen,afd,12339,12241
52,Goslar – Northeim – Osterode,Niedersachsen,afd,11231,11811
53,Göttingen,Niedersachsen,afd,,9783
54,Bremen I,Bremen,afd,9118,9866
55,Bremen II – Bremerhaven,Bremen,afd,12510,12688
56,Prignitz – Ostprignitz-Ruppin – Havelland I,Brandenburg,afd,23798,23220
57,Uckermark – Barnim I,Brandenburg,afd,26166,25744
58,Oberhavel – Havelland II,Brandenburg,afd,30861,30793
59,Märkisch-Oderland – Barnim II,Brandenburg,afd,31925,31813
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg,afd,23936,23845
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Brandenburg,afd,17302,18657
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Brandenburg,afd,33713,34395
63,Frankfurt (Oder) – Oder-Spree,Brandenburg,afd,30180,28336
64,Cottbus – Spree-Neiße,Brandenburg,afd,32529,30728
65,Elbe-Elster – Oberspreewald-Lausitz II,Brandenburg,afd,29559,29849
66,Altmark,Sachsen-Anhalt,afd,20875,20630
67,Börde – Jerichower Land,Sachsen-Anhalt,afd,29843,29603
68,Harz,Sachsen-Anhalt,afd,24947,24788
69,Magdeburg,Sachsen-Anhalt,afd,23398,23446
70,Dessau – Wittenberg,Sachsen-Anhalt,afd,22002,21631
71,Anhalt,Sachsen-Anhalt,afd,33226,31002
72,Halle,Sachsen-Anhalt,afd,22516,21913
73,Burgenland – Saalekreis,Sachsen-Anhalt,afd,32328,31000
74,Mansfeld,Sachsen-Anhalt,afd,32933,31474
75,Berlin-Mitte,Berlin,afd,7597,7734
76,Berlin-Pankow,Berlin,afd,16237,15962
77,Berlin-Reinickendorf,Berlin,afd,12245,12291
78,Berlin-Spandau – Charlottenburg Nord,Berlin,afd,12416,12765
79,Berlin-Steglitz-Zehlendorf,Berlin,afd,9221,9905
80,Berlin-Charlottenburg-Wilmersdorf,Berlin,afd,6530,7359
81,Berlin-Tempelhof-Schöneberg,Berlin,afd,10007,10912
82,Berlin-Neukölln,Berlin,afd,10152,10173
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin,afd,6615,7004
84,Berlin-Treptow-Köpenick,Berlin,afd,17796,19127
85,Berlin-Marzahn-Hellersdorf,Berlin,afd,20854,22536
86,Berlin-Lichtenberg,Berlin,afd,17352,17817
87,Aachen I,Nordrhein-Westfalen,afd,5314,5427
88,Aachen II,Nordrhein-Westfalen,afd,12632,12408
89,Heinsberg,Nordrhein-Westfalen,afd,10965,11358
90,Düren,Nordrhein-Westfalen,afd,12947,13171
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen,afd,13537,13417
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen,afd,15098,14893
93,Köln I,Nordrhein-Westfalen,afd,8789,8363
94,Köln II,Nordrhein-Westfalen,afd,5587,5891
95,Köln III,Nordrhein-Westfalen,afd,8015,7876
96,Bonn,Nordrhein-Westfalen,afd,7448,7749
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen,afd,13043,13604
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen,afd,10385,10551
99,Oberbergischer Kreis,Nordrhein-Westfalen,afd,15071,15211
100,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,afd,9512,10055
101,Leverkusen – Köln IV,Nordrhein-Westfalen,afd,10797,10966
102,Wuppertal I,Nordrhein-Westfalen,afd,11995,12090
103,Solingen – Remscheid – Wuppertal II,Nordrhein-Westfalen,afd,12335,12497
104,Mettmann I,Nordrhein-Westfalen,afd,10704,10658
105,Mettmann II,Nordrhein-Westfalen,afd,8895,9105
106,Düsseldorf I,Nordrhein-Westfalen,afd,7002,7495
107,Düsseldorf II,Nordrhein-Westfalen,afd,8214,8503
108,Neuss I,Nordrhein-Westfalen,afd,10800,11298
109,Mönchengladbach,Nordrhein-Westfalen,afd,9915,9641
110,Krefeld I – Neuss II,Nordrhein-Westfalen,afd,9149,9341
111,Viersen,Nordrhein-Westfalen,afd,10312,10357
112,Kleve,Nordrhein-Westfalen,afd,9788,9633
113,Wesel I,Nordrhein-Westfalen,afd,10842,10994
114,Krefeld II – Wesel II,Nordrhein-Westfalen,afd,9077,9189
115,Duisburg I,Nordrhein-Westfalen,afd,11101,9802
116,Duisburg II,Nordrhein-Westfalen,afd,13363,11834
117,Oberhausen – Wesel III,Nordrhein-Westfalen,afd,13599,13099
118,Mülheim – Essen I,Nordrhein-Westfalen,afd,11704,11135
119,Essen II,Nordrhein-Westfalen,afd,12015,11521
120,Essen III,Nordrhein-Westfalen,afd,8225,8397
121,Recklinghausen I,Nordrhein-Westfalen,afd,11087,10927
122,Recklinghausen II,Nordrhein-Westfalen,afd,13108,12522
123,Gelsenkirchen,Nordrhein-Westfalen,afd,15555,14204
124,Steinfurt I – Borken I,Nordrhein-Westfalen,afd,8482,8385
125,Bottrop – Recklinghausen III,Nordrhein-Westfalen,afd,14067,13891
126,Borken II,Nordrhein-Westfalen,afd,7909,7724
127,Coesfeld – Steinfurt II,Nordrhein-Westfalen,afd,7241,7341
128,Steinfurt III,Nordrhein-Westfalen,afd,8785,9253
129,Münster,Nordrhein-Westfalen,afd,5234,5599
130,Warendorf,Nordrhein-Westfalen,afd,10209,10530
131,Gütersloh I,Nordrhein-Westfalen,afd,12812,13298
132,Bielefeld – Gütersloh II,Nordrhein-Westfalen,afd,12295,12445
133,Herford – Minden-Lübbecke II,Nordrhein-Westfalen,afd,15852,16146
134,Minden-Lübbecke I,Nordrhein-Westfalen,afd,13441,13890
135,Lippe I,Nordrhein-Westfalen,afd,16214,16782
136,Höxter – Lippe II,Nordrhein-Westfalen,afd,11244,11535
137,Paderborn – Gütersloh III,Nordrhein-Westfalen,afd,13152,14360
138,Hagen – Ennepe-Ruhr-Kreis I,Nordrhein-Westfalen,afd,14418,13747
139,Ennepe-Ruhr-Kreis II,Nordrhein-Westfalen,afd,9731,9654
140,Bochum I,Nordrhein-Westfalen,afd,,10235
141,Herne – Bochum II,Nordrhein-Westfalen,afd,11849,11882
142,Dortmund I,Nordrhein-Westfalen,afd,10577,10746
143,Dortmund II,Nordrhein-Westfalen,afd,11816,11290
144,Unna I,Nordrhein-Westfalen,afd,11736,11428
145,Hamm – Unna II,Nordrhein-Westfalen,afd,15562,15497
146,Soest,Nordrhein-Westfalen,afd,13992,14206
147,Hochsauerlandkreis,Nordrhein-Westfalen,afd,10068,11532
148,Siegen-Wittgenstein,Nordrhein-Westfalen,afd,14422,14718
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen,afd,13104,13100
150,Märkischer Kreis II,Nordrhein-Westfalen,afd,12935,13083
151,Nordsachsen,Sachsen,afd,32706,32067
152,Leipzig I,Sachsen,afd,26451,25888
153,Leipzig II,Sachsen,afd,20668,20212
154,Leipzig-Land,Sachsen,afd,39344,38457
155,Meißen,Sachsen,afd,45707,43944
156,Bautzen I,Sachsen,afd,52492,50051
157,Görlitz,Sachsen,afd,53971,49124
158,Sächsische Schweiz-Osterzgebirge,Sachsen,afd,50206,48582
159,Dresden I,Sachsen,afd,33779,32122
160,Dresden II – Bautzen II,Sachsen,afd,34973,35996
161,Mittelsachsen,Sachsen,afd,48720,43819
162,Chemnitz,Sachsen,afd,30499,30086
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,afd,39264,37180
164,Erzgebirgskreis I,Sachsen,afd,50571,48795
165,Zwickau,Sachsen,afd,37132,36597
166,Vogtlandkreis,Sachsen,afd,36392,34116
167,Waldeck,Hessen,afd,12536,12897
168,Kassel,Hessen,afd,11349,12128
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,afd,14202,14898
170,Schwalm-Eder,Hessen,afd,14379,15048
171,Marburg,Hessen,afd,12590,12541
172,Lahn-Dill,Hessen,afd,15816,17509
173,Gießen,Hessen,afd,14440,14786
174,Fulda,Hessen,afd,24505,21442
175,Main-Kinzig – Wetterau II – Schotten,Hessen,afd,17588,17080
176,Hochtaunus,Hessen,afd,10709,11165
177,Wetterau I,Hessen,afd,11318,11680
178,Rheingau-Taunus – Limburg,Hessen,afd,13547,14522
179,Wiesbaden,Hessen,afd,9192,9587
180,Hanau,Hessen,afd,13364,13258
181,Main-Taunus,Hessen,afd,10577,10415
182,Frankfurt am Main I,Hessen,afd,7909,7846
